Data;CCRO3 BS Equity;JBSS3 BS Equity;LAME4 BS Equity;PETR4 BS Equity;USIM5 BS Equity
2016-01-05;0.025492152771477983;-0.04977653141705374;0.00718307124830142;-0.02765647743813693;-0.08187543736878933
2016-01-06;-0.01362349610757252;-0.09167204648160099;-0.00899511693652022;-0.041916167664670545;-0.08993902439024393
2016-01-07;-0.060269058295964184;0.05767082952584013;-0.024572095435684616;-0.02187500000000009;-0.0569514237855947
2016-01-08;-0.0042947127314373335;0.018143419410578954;0.0065802592223329626;0.0015974440894568342;0.025754884547069423
2016-01-11;-0.011310265503690298;0.019705826890439315;0.005414685684099307;-0.028708133971291794;0.017316017316017396
2016-01-12;0.028986912263693876;-0.028016643550624054;-0.019506107973203735;-0.09195402298850563;-0.041702127659574595
2016-01-13;-0.0033917467495762077;-0.02168949771689499;0.0;-0.047016274864376206;-0.10479573712255763
2016-01-14;-0.0008508224617129745;-0.01935044729677171;0.017147833076562424;0.07969639468690692;0.009920634920634885
2016-01-15;-0.029993376856845333;-0.027169062964799262;-0.01903193941389525;-0.0913884007029876;-0.0766208251473478
2016-01-18;-0.017752633632462045;0.03475690551421873;0.029940923737916236;-0.07156673114119927;0.06276595744680846
2016-01-19;0.04051638530287982;-0.022458628841607542;-0.011341415721548787;-0.029166666666666563;-0.010010010010010006
2016-01-20;-0.042374498950181194;0.0048367593712213;-0.03751318565400841;-0.049356223175965774;0.010111223458038499
2016-01-21;-0.007275264102053036;0.044624949859606966;-0.0033563942735803654;0.015801354401805856;-0.040040040040040026
2016-01-22;0.014556771408493097;-0.032734952481520474;0.004536082474226655;-0.020000000000000018;0.02085505735140769
2016-01-26;-0.01256679200474975;-0.07334259626836048;-0.0237411056376573;-0.04761904761904756;-0.02962206332992856
2016-01-27;0.052810902896081924;-0.14704937346042624;0.029504520288737845;0.08809523809523823;-0.07263157894736838
2016-01-28;0.03626499143346651;0.11175288799598171;0.016882232811436415;0.006564551422319376;-0.044267877412031864
2016-01-29;0.06493983650225021;0.15518409758301344;0.029254250903735457;0.052173913043478404;-0.01187648456057011
2016-02-01;-0.010177678109366983;-0.002835353930387141;-0.013463414634146353;-0.024793388429752095;0.1298076923076923
2016-02-02;-0.04661903102126164;-0.06588881262868918;-0.05926951476793241;-0.08898305084745761;-0.02127659574468077
2016-02-03;0.03646833013435691;0.02876036527763204;0.005816805662625324;0.04418604651162794;0.021739130434782483
2016-02-04;0.020017636684303453;0.05121926334047555;0.013795986622073597;0.05345211581291753;0.06276595744680846
2016-02-05;0.019624794674505175;-0.02756478695525577;-0.029484536082474255;-0.04016913319238913;-0.010010010010010006
2016-02-10;-0.01695777513990171;-0.019862261702764727;0.028043339706819603;-0.05066079295154191;-0.039433771486349856
2016-02-11;-0.0414869760220804;-0.02983706720977608;-0.023283047461596706;-0.01856148491879328;-0.12421052631578944
2016-02-12;-0.012237919553675813;-0.0010496483677967516;0.011636927851047307;0.05200945626477527;0.0
2016-02-15;0.037259724879292966;0.0030471787327939204;0.01610429447852768;0.015730337078651457;0.05889423076923084
2016-02-16;0.0007904444054100956;0.062434527550806695;0.019759862778730763;-0.017699115044247593;0.04426787741203175
2016-02-17;-0.002457218078104284;0.05975152829816599;0.021664536096346776;0.054054054054053946;0.0641304347826086
2016-02-18;-0.0071258907363421775;-0.035169333829549676;0.01521238063878827;-0.019230769230769162;-0.12972420837589382
2016-02-19;0.023303207513733826;0.015525554484088877;0.011222106901920048;-0.028322440087145906;0.010563380281690238
